,sal_20_21,currentAge,height,weight,total_timeOnIce,total_assists,total_goals,total_pim,total_hits,total_penaltyMinutes,total_faceOffPct,total_shotPct,total_overTimeGoals,total_shortHandedGoals,total_shortHandedTimeOnIce,total_blocked,total_plusMinus,assist_height,name,birthStateProvince,birthCountry,alternateCaptain,captain,rookie,shootsCatches,rosterStatus
183,700000.0,24,74.0,201,805.69,6.0,2.0,10.0,118.0,10.0,0.0,7.58,0.0,0.0,98.37,73.0,6.0,444.0,Defenseman,BC,CAN,False,False,False,R,Y
184,1500000.0,29,70.0,209,3250.5699999999997,20.0,38.0,101.0,626.0,101.0,224.79999999999998,48.04,0.0,2.0,391.44,189.0,-8.0,1400.0,Center,RI,USA,False,False,False,R,Y
185,2500000.0,27,73.0,187,3852.74,43.0,17.0,30.0,193.0,30.0,0.0,23.339999999999996,0.0,0.0,18.139999999999997,172.0,25.0,3139.0,Defenseman,0,FIN,False,False,False,L,Y
186,633570.0,26,69.0,187,71.01,1.0,0.0,32.0,23.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,69.0,Left Wing,ON,CAN,False,False,True,L,Y
187,185801.0,21,71.0,186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left Wing,0,RUS,False,False,True,R,Y
188,303690.0,23,72.0,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defenseman,MN,USA,False,False,False,L,Y
189,5460000.0,32,73.0,215,11375.199999999999,188.0,51.0,194.0,548.0,194.0,100.0,38.27,1.0,4.0,1384.2099999999998,993.0,133.0,13724.0,Defenseman,MN,USA,False,False,False,L,Y
190,3750000.0,30,68.0,185,8888.83,183.0,150.0,166.0,371.0,166.0,345.06,92.03,5.0,8.0,642.2300000000001,229.0,82.0,12444.0,Center,WA,USA,False,False,False,R,Y
191,8000000.0,30,78.0,241,11927.359999999997,295.0,89.0,315.0,563.0,315.0,50.0,53.11000000000001,5.0,0.0,1124.35,780.0,124.0,23010.0,Defenseman,0,SWE,False,False,False,L,Y
192,3445000.0,30,72.0,194,8332.77,216.0,108.0,151.0,848.0,151.0,161.22,81.00999999999999,2.0,7.0,643.1600000000001,362.0,126.0,15552.0,Left Wing,0,CZE,False,False,False,L,Y
193,1800000.0,29,71.0,207,3862.23,38.0,57.0,204.0,683.0,204.0,162.53,33.18,0.0,9.0,578.27,162.0,-19.0,2698.0,Center,TX,USA,False,False,False,L,Y
194,6000000.0,25,70.0,183,5514.74,146.0,116.0,77.0,120.0,77.0,194.07,68.67,6.0,3.0,192.73999999999998,161.0,77.0,10220.0,Center,AB,CAN,False,False,False,R,Y
195,200000.0,25,73.0,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defenseman,AB,CAN,False,False,True,R,Y
196,6034.0,27,73.0,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left Wing,QC,CAN,False,False,False,L,Y
197,1475000.0,24,75.0,230,2385.73,18.0,10.0,117.0,370.0,117.0,0.0,8.67,0.0,0.0,334.74,176.0,36.0,1350.0,Defenseman,0,SVK,False,False,False,R,Y
