,birthDate,currentAge,height,weight,sal_14_15,sal_15_16,sal_16_17,sal_17_18,sal_18_19,sal_19_20,sal_20_21,total_timeOnIce,total_assists,total_goals,total_pim,total_shots,total_games,total_hits,total_powerPlayGoals,total_powerPlayPoints,total_powerPlayTimeOnIce,total_evenTimeOnIce,total_penaltyMinutes,total_faceOffPct,total_shotPct,total_gameWinningGoals,total_overTimeGoals,total_shortHandedGoals,total_shortHandedPoints,total_shortHandedTimeOnIce,total_blocked,total_plusMinus,total_points,total_shifts,total_timeOnIcePerGame,total_evenTimeOnIcePerGame,total_shortHandedTimeOnIcePerGame,total_powerPlayTimeOnIcePerGame
51,1992,29,77.0,216,0.0,0.0,0.0,0.0,0.0,9000000.0,7500000.0,7206.860000000001,155,115,134,890,450,342,18,44,627.52,5997.779999999999,134,267.89,77.55,19,3,10,17,579.9599999999999,159,22,270,9850,95.53999999999999,78.91,7.12,7.45
52,1992,28,75.0,211,0.0,0.0,3750000.0,4000000.0,4250000.0,4500000.0,4750000.0,10369.97,221,139,231,1187,524,382,22,62,1177.05,8001.57,231,369.25,79.29,20,4,3,10,1188.5500000000002,270,82,360,13436,136.81,105.19,14.169999999999998,14.18
53,1994,27,73.0,190,0.0,0.0,0.0,0.0,0.0,2300000.0,2300000.0,3988.3100000000004,62,44,172,452,316,528,0,1,39.8,3514.86,172,306.18,48.25,3,0,1,3,431.65000000000003,139,-11,106,5680,72.77,65.09,5.58,0.44
54,1993,28,71.0,180,0.0,0.0,0.0,6000000.0,6000000.0,5250000.0,3250000.0,6774.38,148,51,123,826,340,183,22,97,1213.73,5532.37,123,100.0,32.4,11,6,0,0,26.28,409,-29,199,8185,110.56,90.10000000000001,0.21,18.61
55,1995,26,74.0,204,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,3444.07,31,11,125,218,202,636,1,1,10.120000000000001,3119.42,125,0.0,17.08,1,0,0,0,312.93,340,16,42,4708,71.17999999999999,65.06,5.220000000000001,0.08
56,1996,25,75.0,181,0.0,0.0,0.0,0.0,0.0,3250000.0,3250000.0,3757.21,51,19,74,303,200,113,2,9,160.07999999999998,3403.01,74,0.0,17.52,2,1,0,0,192.92000000000002,247,-6,70,4888,54.769999999999996,49.34,2.07,1.72
57,1996,24,73.0,191,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,1976.58,27,30,32,270,134,126,5,8,188.74,1677.0,32,70.62,31.35,3,0,0,0,109.64,81,-1,57,2747,45.15,38.09,1.76,4.48
58,1997,24,70.0,175,0.0,0.0,0.0,0.0,0.0,4000000.0,5000000.0,4553.719999999999,102,83,163,633,299,317,13,38,553.8499999999999,3994.5899999999997,163,114.12,52.019999999999996,12,3,0,0,3.6799999999999997,154,10,185,6018,60.22,52.43,0.02,6.539999999999999
59,1997,24,73.0,201,0.0,0.0,0.0,0.0,0.0,6750000.0,4750000.0,7555.639999999999,90,43,110,659,315,466,9,28,621.46,6061.58,110,0.0,25.63,7,1,0,1,871.0,595,5,133,9103,95.23,76.16,9.81,7.220000000000001
60,1997,24,73.0,190,0.0,0.0,0.0,0.0,0.0,0.0,307810.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
61,2000,21,72.0,164,0.0,0.0,0.0,0.0,0.0,808660.0,925000.0,733.29,13,8,39,81,52,31,1,2,70.27,649.1,39,30.0,9.9,1,0,0,0,13.52,18,6,21,1013,14.06,12.29,0.16,1.21
62,1997,23,72.0,190,0.0,0.0,0.0,0.0,0.0,0.0,106854.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
63,1985,36,75.0,219,6750000.0,7000000.0,7000000.0,6500000.0,5000000.0,3000000.0,448266.0,8609.08,168,154,213,1407,476,492,46,90,1258.49,6659.17,213,363.58,78.17,35,10,6,9,688.6200000000001,202,-2,322,11089,124.54,96.1,8.8,17.18
64,1987,33,71.0,200,12000000.0,12000000.0,10900000.0,10900000.0,10000000.0,9000000.0,9600000.0,10608.27,374,224,256,1575,514,471,70,202,1896.5700000000002,8523.660000000002,256,366.34000000000003,99.83,35,11,0,2,186.04,215,69,598,12949,142.12,114.64999999999998,1.49,24.32
65,1989,32,72.0,190,0.0,0.0,0.0,0.0,1200000.0,1200000.0,1200000.0,6019.599999999999,81,59,108,850,452,539,4,13,237.98999999999998,4999.8,108,300.80999999999995,50.989999999999995,8,0,4,8,779.4099999999999,372,-6,140,8539,92.29,76.87,10.309999999999999,3.45
66,1991,29,76.0,207,0.0,0.0,0.0,4100000.0,4100000.0,4100000.0,4100000.0,7006.3,71,11,94,422,347,488,0,5,135.57,6183.8,94,100.0,37.11,1,0,1,5,684.93,480,55,82,9516,135.8,118.73,10.86,3.71
67,1992,29,71.0,192,0.0,0.0,0.0,0.0,5000000.0,1848110.0,4800000.0,7107.7699999999995,114,134,163,1041,445,459,24,48,642.77,6250.279999999999,163,215.42999999999998,90.63,24,2,3,5,211.92,207,18,248,8913,107.93999999999998,95.46,2.3000000000000003,8.1
68,1992,29,71.0,192,0.0,0.0,0.0,0.0,3500000.0,3500000.0,3500000.0,4796.97,92,78,104,627,308,471,10,22,244.72,4169.200000000001,104,144.13,63.699999999999996,13,4,5,10,379.84999999999997,189,37,170,6808,88.69000000000001,77.48,4.77,3.58
69,1994,26,76.0,212,0.0,0.0,0.0,0.0,0.0,0.0,700000.0,2596.3999999999996,28,36,59,255,208,80,2,3,83.32,2168.17,59,207.90999999999997,41.75,4,0,7,10,343.71000000000004,140,-13,64,3607,46.86,40.330000000000005,4.609999999999999,0.69
70,1993,27,74.0,210,0.0,0.0,0.0,0.0,0.0,0.0,1250000.0,10418.72,93,33,108,794,496,690,1,13,356.12,8791.18,108,100.0,28.43,8,1,0,2,1269.0199999999998,843,-53,126,13188,144.44,121.15,16.2,3.83
71,1990,31,71.0,191,0.0,0.0,0.0,0.0,0.0,700000.0,700000.0,2618.7999999999997,18,7,44,218,163,246,0,4,60.300000000000004,2394.62,44,0.0,16.48,1,0,0,0,162.28,143,-4,25,3616,108.34,98.96,4.82,3.2899999999999996
72,1994,26,71.0,180,0.0,0.0,0.0,0.0,0.0,7000000.0,5000000.0,4377.58,102,98,92,606,243,354,20,36,496.56,3811.96,92,178.2,65.94,9,2,1,1,67.85999999999999,130,22,200,5601,71.4,62.150000000000006,0.56,7.85
73,1993,28,72.0,179,0.0,0.0,0.0,0.0,0.0,0.0,241360.0,756.1800000000001,5,3,4,65,84,34,0,0,1.5,750.78,4,131.26,6.98,1,0,0,0,3.5,31,2,8,1124,26.48,25.9,0.13,0.03
74,1996,24,73.0,194,0.0,0.0,0.0,0.0,0.0,4400000.0,2860000.0,3030.27,49,41,55,375,202,238,1,6,164.7,2572.33,55,77.61,44.010000000000005,6,2,5,5,291.64,48,6,90,4218,67.84,58.86999999999999,5.02,3.0999999999999996
75,1996,25,75.0,177,0.0,0.0,0.0,0.0,0.0,0.0,4025175.0,3038.7200000000003,46,5,107,182,175,225,1,8,148.55,2720.08,107,100.0,11.05,0,0,0,1,168.49,219,31,51,4124,48.989999999999995,44.31,1.99,1.48
76,1995,25,71.0,185,0.0,0.0,0.0,0.0,0.0,0.0,700000.0,93.64999999999999,1,0,2,3,7,9,0,0,0.28,93.37,2,0.0,0.0,0,0,0,0,0.0,5,-1,1,136,25.68,25.630000000000003,0.0,0.04
77,1995,26,73.0,195,0.0,0.0,0.0,0.0,0.0,0.0,639604.0,480.49,7,6,23,56,50,95,0,0,1.17,448.51,23,49.57,10.7,1,0,0,0,30.41,17,5,13,734,9.36,8.58,0.36,0.01
78,1997,24,73.0,181,0.0,0.0,0.0,0.0,0.0,925000.0,925000.0,1133.35,20,6,20,61,56,72,1,4,42.05,977.56,20,0.0,9.8,0,0,0,0,113.34,77,17,26,1495,20.14,17.27,2.01,0.45
79,1993,27,71.0,184,0.0,0.0,0.0,0.0,0.0,0.0,700000.0,2757.21,45,27,57,393,199,91,5,12,228.07999999999998,2326.09,57,177.09,41.39,2,0,0,3,201.44,83,-30,72,3670,64.21,55.83,3.05,4.1
80,1993,27,72.0,189,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1116.6,9,3,16,81,73,160,2,4,78.81,1032.15,16,0.0,7.25,1,0,0,0,4.84,62,6,12,1579,29.93,27.73,0.08,2.09
81,1996,25,78.0,220,0.0,0.0,0.0,0.0,0.0,0.0,403486.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
